text,token_ids,label
she enjoy that,27 1784 15,1
we were not love it,70 48 21 194 17,-1
she do not like this,27 81 21 96 49,-1
what were we like ?,55 48 70 96 80,0
they do not like it,45 81 21 96 17,-1
he love it,16 194 17,1
how was i like ?,110 14 5552 96 80,0
they love it,45 194 17,1
how did i enjoy ?,110 73 5552 1784 80,0
i are not enjoy that,5552 66 21 1784 15,-1
did she love this ?,73 27 194 49 80,0
why does we like ?,305 312 70 96 80,0
why are she enjoy ?,305 66 27 1784 80,0
how was he love ?,110 14 16 194 80,0
he like it,16 96 17,1
why were they enjoy ?,305 48 45 1784 80,0
how is we love ?,110 34 70 194 80,0
you was not enjoy this,24 14 21 1784 49,-1
she were not like this,27 48 21 96 49,-1
she enjoy this,27 1784 49,1
how is he love ?,110 34 16 194 80,0
was she like it ?,14 27 96 17 80,0
do he love it ?,81 16 194 17 80,0
i does not enjoy this,5552 312 21 1784 49,-1
how was you love ?,110 14 24 194 80,0
i enjoy it,5552 1784 17,1
how is we love ?,110 34 70 194 80,0
were they love this ?,48 45 194 49 80,0
i are not like it,5552 66 21 96 17,-1
what does i love ?,55 312 5552 194 80,0
why was we like ?,305 14 70 96 80,0
i enjoy it,5552 1784 17,1
he enjoy it,16 1784 17,1
what did they enjoy ?,55 73 45 1784 80,0
they love that,45 194 15,1
what was she love ?,55 14 27 194 80,0
we were not love this,70 48 21 194 49,-1
you is not love this,24 34 21 194 49,-1
we is not love this,70 34 21 194 49,-1
he enjoy that,16 1784 15,1
we love this,70 194 49,1
she enjoy that,27 1784 15,1
is i enjoy this ?,34 5552 1784 49 80,0
they was not enjoy it,45 14 21 1784 17,-1
i love this,5552 194 49,1
you was not love it,24 14 21 194 17,-1
why do i enjoy ?,305 81 5552 1784 80,0
how did he love ?,110 73 16 194 80,0
i did not like this,5552 73 21 96 49,-1
what was she enjoy ?,55 14 27 1784 80,0
he enjoy that,16 1784 15,1
were he love it ?,48 16 194 17 80,0
you love this,24 194 49,1
is they enjoy this ?,34 45 1784 49 80,0
he love that,16 194 15,1
does you like that ?,312 24 96 15 80,0
what does he enjoy ?,55 312 16 1784 80,0
what was she enjoy ?,55 14 27 1784 80,0
why does we like ?,305 312 70 96 80,0
what does you enjoy ?,55 312 24 1784 80,0
do she love this ?,81 27 194 49 80,0
we enjoy that,70 1784 15,1
i enjoy this,5552 1784 49,1
did they like that ?,73 45 96 15 80,0
i was not enjoy this,5552 14 21 1784 49,-1
are he like it ?,66 16 96 17 80,0
we were not enjoy that,70 48 21 1784 15,-1
he is not love it,16 34 21 194 17,-1
what were we like ?,55 48 70 96 80,0
was you like it ?,14 24 96 17 80,0
were he like it ?,48 16 96 17 80,0
what did you enjoy ?,55 73 24 1784 80,0
she does not like this,27 312 21 96 49,-1
she does not enjoy this,27 312 21 1784 49,-1
did he enjoy that ?,73 16 1784 15 80,0
you did not like it,24 73 21 96 17,-1
she like it,27 96 17,1
he are not enjoy it,16 66 21 1784 17,-1
why were you like ?,305 48 24 96 80,0
i love this,5552 194 49,1
we does not like that,70 312 21 96 15,-1
is i enjoy it ?,34 5552 1784 17 80,0
we like that,70 96 15,1
you enjoy it,24 1784 17,1
she like it,27 96 17,1
what was she love ?,55 14 27 194 80,0
do they enjoy this ?,81 45 1784 49 80,0
does you love this ?,312 24 194 49 80,0
we like it,70 96 17,1
they are not like it,45 66 21 96 17,-1
did you like this ?,73 24 96 49 80,0
how do they like ?,110 81 45 96 80,0
was i love this ?,14 5552 194 49 80,0
how are they love ?,110 66 45 194 80,0
what does they enjoy ?,55 312 45 1784 80,0
we was not love it,70 14 21 194 17,-1
do they like this ?,81 45 96 49 80,0
what is you like ?,55 34 24 96 80,0
he enjoy that,16 1784 15,1
what was i like ?,55 14 5552 96 80,0
we enjoy that,70 1784 15,1
i enjoy that,5552 1784 15,1
how were you like ?,110 48 24 96 80,0
does you enjoy this ?,312 24 1784 49 80,0
were i love this ?,48 5552 194 49 80,0
what were you love ?,55 48 24 194 80,0
they like that,45 96 15,1
what is we like ?,55 34 70 96 80,0
were he love this ?,48 16 194 49 80,0
we did not love this,70 73 21 194 49,-1
what do i like ?,55 81 5552 96 80,0
what did you love ?,55 73 24 194 80,0
does you enjoy it ?,312 24 1784 17 80,0
she love it,27 194 17,1
are they love that ?,66 45 194 15 80,0
were he love that ?,48 16 194 15 80,0
you does not enjoy it,24 312 21 1784 17,-1
did he like this ?,73 16 96 49 80,0
are they enjoy that ?,66 45 1784 15 80,0
i is not love this,5552 34 21 194 49,-1
what are you love ?,55 66 24 194 80,0
i like this,5552 96 49,1
she enjoy it,27 1784 17,1
why were she love ?,305 48 27 194 80,0
he love that,16 194 15,1
you like this,24 96 49,1
why did she love ?,305 73 27 194 80,0
he like it,16 96 17,1
we like this,70 96 49,1
do they like it ?,81 45 96 17 80,0
they enjoy it,45 1784 17,1
why did i enjoy ?,305 73 5552 1784 80,0
he enjoy it,16 1784 17,1
we like this,70 96 49,1
how did we enjoy ?,110 73 70 1784 80,0
what do you enjoy ?,55 81 24 1784 80,0
i love this,5552 194 49,1
what do we love ?,55 81 70 194 80,0
she are not love this,27 66 21 194 49,-1
we was not like it,70 14 21 96 17,-1
why does i like ?,305 312 5552 96 80,0
i like that,5552 96 15,1
why are you love ?,305 66 24 194 80,0
we enjoy it,70 1784 17,1
they like this,45 96 49,1
did we enjoy that ?,73 70 1784 15 80,0
we does not like this,70 312 21 96 49,-1
were they like that ?,48 45 96 15 80,0
does we enjoy that ?,312 70 1784 15 80,0
do i like this ?,81 5552 96 49 80,0
what did you enjoy ?,55 73 24 1784 80,0
she does not like it,27 312 21 96 17,-1
why do you love ?,305 81 24 194 80,0
does they love this ?,312 45 194 49 80,0
we like that,70 96 15,1
we enjoy that,70 1784 15,1
was she like this ?,14 27 96 49 80,0
he are not love that,16 66 21 194 15,-1
you did not enjoy that,24 73 21 1784 15,-1
we was not love that,70 14 21 194 15,-1
how are he love ?,110 66 16 194 80,0
i enjoy that,5552 1784 15,1
he love this,16 194 49,1
was they like it ?,14 45 96 17 80,0
is they enjoy it ?,34 45 1784 17 80,0
was he enjoy it ?,14 16 1784 17 80,0
we like that,70 96 15,1
is she enjoy this ?,34 27 1784 49 80,0
do she love this ?,81 27 194 49 80,0
you love this,24 194 49,1
what was they love ?,55 14 45 194 80,0
he enjoy it,16 1784 17,1
do she enjoy that ?,81 27 1784 15 80,0
do you like it ?,81 24 96 17 80,0
you love it,24 194 17,1
are we love this ?,66 70 194 49 80,0
why is she like ?,305 34 27 96 80,0
why does they love ?,305 312 45 194 80,0
you like it,24 96 17,1
we did not like that,70 73 21 96 15,-1
she is not enjoy that,27 34 21 1784 15,-1
they are not love this,45 66 21 194 49,-1
he enjoy that,16 1784 15,1
i love it,5552 194 17,1
were she like that ?,48 27 96 15 80,0
how was he like ?,110 14 16 96 80,0
we did not love it,70 73 21 194 17,-1
we love that,70 194 15,1
did you enjoy it ?,73 24 1784 17 80,0
he enjoy it,16 1784 17,1
we do not love that,70 81 21 194 15,-1
why were we love ?,305 48 70 194 80,0
he were not like that,16 48 21 96 15,-1
are he enjoy that ?,66 16 1784 15 80,0
what is you love ?,55 34 24 194 80,0
i enjoy that,5552 1784 15,1
what did i love ?,55 73 5552 194 80,0
did i enjoy this ?,73 5552 1784 49 80,0
how is i love ?,110 34 5552 194 80,0
we love that,70 194 15,1
he love this,16 194 49,1
we was not enjoy this,70 14 21 1784 49,-1
why are i enjoy ?,305 66 5552 1784 80,0
what was i love ?,55 14 5552 194 80,0
you enjoy it,24 1784 17,1
they were not love this,45 48 21 194 49,-1
she enjoy that,27 1784 15,1
what does she like ?,55 312 27 96 80,0
were she like this ?,48 27 96 49 80,0
is we enjoy this ?,34 70 1784 49 80,0
he enjoy it,16 1784 17,1
why is he enjoy ?,305 34 16 1784 80,0
she do not like that,27 81 21 96 15,-1
is you enjoy this ?,34 24 1784 49 80,0
were i enjoy this ?,48 5552 1784 49 80,0
what were they like ?,55 48 45 96 80,0
i enjoy this,5552 1784 49,1
is i like that ?,34 5552 96 15 80,0
she does not love this,27 312 21 194 49,-1
he love it,16 194 17,1
is we enjoy this ?,34 70 1784 49 80,0
i do not enjoy it,5552 81 21 1784 17,-1
how does you love ?,110 312 24 194 80,0
was we love it ?,14 70 194 17 80,0
how are i love ?,110 66 5552 194 80,0
he like this,16 96 49,1
he enjoy it,16 1784 17,1
she did not love this,27 73 21 194 49,-1
we does not like that,70 312 21 96 15,-1
are she enjoy this ?,66 27 1784 49 80,0
why did you love ?,305 73 24 194 80,0
he does not like it,16 312 21 96 17,-1
was we enjoy this ?,14 70 1784 49 80,0
what does they like ?,55 312 45 96 80,0
did he enjoy it ?,73 16 1784 17 80,0
does we like it ?,312 70 96 17 80,0
why is you enjoy ?,305 34 24 1784 80,0
were they love it ?,48 45 194 17 80,0
you was not enjoy that,24 14 21 1784 15,-1
we was not love it,70 14 21 194 17,-1
we like it,70 96 17,1
they love that,45 194 15,1
what does we enjoy ?,55 312 70 1784 80,0
she do not enjoy that,27 81 21 1784 15,-1
we did not like this,70 73 21 96 49,-1
they love it,45 194 17,1
i did not like this,5552 73 21 96 49,-1
why did she like ?,305 73 27 96 80,0
you are not like it,24 66 21 96 17,-1
you were not love this,24 48 21 194 49,-1
is she love that ?,34 27 194 15 80,0
are you enjoy that ?,66 24 1784 15 80,0
he enjoy this,16 1784 49,1
they are not love this,45 66 21 194 49,-1
are we enjoy it ?,66 70 1784 17 80,0
you like it,24 96 17,1
she love that,27 194 15,1
i like this,5552 96 49,1
he love it,16 194 17,1
she is not enjoy this,27 34 21 1784 49,-1
were they enjoy it ?,48 45 1784 17 80,0
why is she like ?,305 34 27 96 80,0
i like that,5552 96 15,1
do i like this ?,81 5552 96 49 80,0
why do you enjoy ?,305 81 24 1784 80,0
why were they enjoy ?,305 48 45 1784 80,0
they does not enjoy that,45 312 21 1784 15,-1
how is you like ?,110 34 24 96 80,0
she is not like this,27 34 21 96 49,-1
why was he like ?,305 14 16 96 80,0
how was she like ?,110 14 27 96 80,0
she like that,27 96 15,1
you are not like this,24 66 21 96 49,-1
they love that,45 194 15,1
i are not enjoy this,5552 66 21 1784 49,-1
what are she enjoy ?,55 66 27 1784 80,0
you are not like that,24 66 21 96 15,-1
do we love this ?,81 70 194 49 80,0
does you love this ?,312 24 194 49 80,0
were he like that ?,48 16 96 15 80,0
we love this,70 194 49,1
she like this,27 96 49,1
were i enjoy it ?,48 5552 1784 17 80,0
what do they enjoy ?,55 81 45 1784 80,0
i enjoy this,5552 1784 49,1
he enjoy that,16 1784 15,1
were you love it ?,48 24 194 17 80,0
what do he like ?,55 81 16 96 80,0
how do he like ?,110 81 16 96 80,0
why was he like ?,305 14 16 96 80,0
is we like this ?,34 70 96 49 80,0
he enjoy this,16 1784 49,1
do they like this ?,81 45 96 49 80,0
we is not like that,70 34 21 96 15,-1
she were not like it,27 48 21 96 17,-1
why was i enjoy ?,305 14 5552 1784 80,0
we are not like that,70 66 21 96 15,-1
does he love this ?,312 16 194 49 80,0
why do she love ?,305 81 27 194 80,0
we love this,70 194 49,1
why are you enjoy ?,305 66 24 1784 80,0
how did we love ?,110 73 70 194 80,0
we like that,70 96 15,1
i like that,5552 96 15,1
he is not like this,16 34 21 96 49,-1
they is not love that,45 34 21 194 15,-1
how were they love ?,110 48 45 194 80,0
you like that,24 96 15,1
she enjoy that,27 1784 15,1
do they enjoy this ?,81 45 1784 49 80,0
we enjoy it,70 1784 17,1
are he love this ?,66 16 194 49 80,0
she did not enjoy this,27 73 21 1784 49,-1
why do we love ?,305 81 70 194 80,0
they does not love it,45 312 21 194 17,-1
do she love it ?,81 27 194 17 80,0
why do she enjoy ?,305 81 27 1784 80,0
she love this,27 194 49,1
how is he enjoy ?,110 34 16 1784 80,0
you enjoy this,24 1784 49,1
are you love this ?,66 24 194 49 80,0
what does they love ?,55 312 45 194 80,0
i did not love that,5552 73 21 194 15,-1
why does she like ?,305 312 27 96 80,0
did she love it ?,73 27 194 17 80,0
you love it,24 194 17,1
what did i love ?,55 73 5552 194 80,0
he was not love this,16 14 21 194 49,-1
we does not like it,70 312 21 96 17,-1
is he like that ?,34 16 96 15 80,0
were she enjoy it ?,48 27 1784 17 80,0
how did they love ?,110 73 45 194 80,0
you was not like it,24 14 21 96 17,-1
you love it,24 194 17,1
he is not enjoy that,16 34 21 1784 15,-1
were we enjoy this ?,48 70 1784 49 80,0
is you love this ?,34 24 194 49 80,0
you are not like this,24 66 21 96 49,-1
did he enjoy that ?,73 16 1784 15 80,0
they like this,45 96 49,1
how is you love ?,110 34 24 194 80,0
i is not enjoy that,5552 34 21 1784 15,-1
is we like that ?,34 70 96 15 80,0
what is he love ?,55 34 16 194 80,0
we like this,70 96 49,1
is she like that ?,34 27 96 15 80,0
we were not like this,70 48 21 96 49,-1
did you enjoy this ?,73 24 1784 49 80,0
he does not love that,16 312 21 194 15,-1
we enjoy it,70 1784 17,1
you did not enjoy this,24 73 21 1784 49,-1
they like it,45 96 17,1
he like that,16 96 15,1
you are not enjoy that,24 66 21 1784 15,-1
do we like that ?,81 70 96 15 80,0
were we like it ?,48 70 96 17 80,0
what does she love ?,55 312 27 194 80,0
you enjoy that,24 1784 15,1
what were we like ?,55 48 70 96 80,0
what did they enjoy ?,55 73 45 1784 80,0
she like that,27 96 15,1
they love that,45 194 15,1
why was i love ?,305 14 5552 194 80,0
we like that,70 96 15,1
did we enjoy this ?,73 70 1784 49 80,0
he are not like this,16 66 21 96 49,-1
what did we like ?,55 73 70 96 80,0
they love it,45 194 17,1
they did not love this,45 73 21 194 49,-1
they does not love it,45 312 21 194 17,-1
he are not enjoy it,16 66 21 1784 17,-1
they enjoy that,45 1784 15,1
we enjoy that,70 1784 15,1
i is not love it,5552 34 21 194 17,-1
i like that,5552 96 15,1
how were i like ?,110 48 5552 96 80,0
we love this,70 194 49,1
how is she love ?,110 34 27 194 80,0
why is they like ?,305 34 45 96 80,0
what is you love ?,55 34 24 194 80,0
is she love it ?,34 27 194 17 80,0
i enjoy that,5552 1784 15,1
you were not like that,24 48 21 96 15,-1
did i love this ?,73 5552 194 49 80,0
what were she love ?,55 48 27 194 80,0
they enjoy it,45 1784 17,1
why does we enjoy ?,305 312 70 1784 80,0
why do we love ?,305 81 70 194 80,0
he like this,16 96 49,1
how do you enjoy ?,110 81 24 1784 80,0
she love this,27 194 49,1
i enjoy that,5552 1784 15,1
she does not enjoy this,27 312 21 1784 49,-1
what was you love ?,55 14 24 194 80,0
he are not enjoy this,16 66 21 1784 49,-1
you were not like it,24 48 21 96 17,-1
she were not like that,27 48 21 96 15,-1
i enjoy it,5552 1784 17,1
what is i love ?,55 34 5552 194 80,0
was she like it ?,14 27 96 17 80,0
how did they love ?,110 73 45 194 80,0
he did not enjoy it,16 73 21 1784 17,-1
were you enjoy this ?,48 24 1784 49 80,0
you is not love this,24 34 21 194 49,-1
they were not love this,45 48 21 194 49,-1
we like it,70 96 17,1
why was they enjoy ?,305 14 45 1784 80,0
why were i love ?,305 48 5552 194 80,0
did he like this ?,73 16 96 49 80,0
was we like that ?,14 70 96 15 80,0
i enjoy it,5552 1784 17,1
were they enjoy that ?,48 45 1784 15 80,0
does you love it ?,312 24 194 17 80,0
we enjoy it,70 1784 17,1
what does he like ?,55 312 16 96 80,0
you does not like this,24 312 21 96 49,-1
what was we enjoy ?,55 14 70 1784 80,0
we were not love that,70 48 21 194 15,-1
you does not enjoy this,24 312 21 1784 49,-1
he like this,16 96 49,1
is she enjoy it ?,34 27 1784 17 80,0
you are not love that,24 66 21 194 15,-1
i does not like it,5552 312 21 96 17,-1
was you enjoy this ?,14 24 1784 49 80,0
what does you enjoy ?,55 312 24 1784 80,0
they does not like that,45 312 21 96 15,-1
he like this,16 96 49,1
you were not enjoy that,24 48 21 1784 15,-1
you does not like it,24 312 21 96 17,-1
they did not like this,45 73 21 96 49,-1
how do i enjoy ?,110 81 5552 1784 80,0
does he love this ?,312 16 194 49 80,0
she do not love that,27 81 21 194 15,-1
you was not like that,24 14 21 96 15,-1
he enjoy this,16 1784 49,1
why did you enjoy ?,305 73 24 1784 80,0
is they like that ?,34 45 96 15 80,0
what were i love ?,55 48 5552 194 80,0
they was not enjoy that,45 14 21 1784 15,-1
we does not love it,70 312 21 194 17,-1
you love that,24 194 15,1
do you enjoy that ?,81 24 1784 15 80,0
were she enjoy that ?,48 27 1784 15 80,0
why is i enjoy ?,305 34 5552 1784 80,0
what is you love ?,55 34 24 194 80,0
they did not like that,45 73 21 96 15,-1
what is she love ?,55 34 27 194 80,0
she like this,27 96 49,1
how does she like ?,110 312 27 96 80,0
does you enjoy this ?,312 24 1784 49 80,0
we did not enjoy it,70 73 21 1784 17,-1
why was we enjoy ?,305 14 70 1784 80,0
did we like it ?,73 70 96 17 80,0
why did i like ?,305 73 5552 96 80,0
we was not enjoy this,70 14 21 1784 49,-1
why did she love ?,305 73 27 194 80,0
how are you like ?,110 66 24 96 80,0
were they love that ?,48 45 194 15 80,0
she was not love it,27 14 21 194 17,-1
how did they enjoy ?,110 73 45 1784 80,0
is they like that ?,34 45 96 15 80,0
you love it,24 194 17,1
we enjoy it,70 1784 17,1
how do he enjoy ?,110 81 16 1784 80,0
does we love this ?,312 70 194 49 80,0
you are not enjoy this,24 66 21 1784 49,-1
were she enjoy it ?,48 27 1784 17 80,0
why did he enjoy ?,305 73 16 1784 80,0
how were i love ?,110 48 5552 194 80,0
does she like it ?,312 27 96 17 80,0
we like that,70 96 15,1
why were she enjoy ?,305 48 27 1784 80,0
they is not love that,45 34 21 194 15,-1
does i love this ?,312 5552 194 49 80,0
why do she love ?,305 81 27 194 80,0
you like that,24 96 15,1
he like this,16 96 49,1
what was i enjoy ?,55 14 5552 1784 80,0
why does he like ?,305 312 16 96 80,0
did he love this ?,73 16 194 49 80,0
you do not love that,24 81 21 194 15,-1
he did not enjoy that,16 73 21 1784 15,-1
are you love this ?,66 24 194 49 80,0
what is she love ?,55 34 27 194 80,0
what is we enjoy ?,55 34 70 1784 80,0
was she love that ?,14 27 194 15 80,0
they enjoy it,45 1784 17,1
i do not like that,5552 81 21 96 15,-1
he were not like it,16 48 21 96 17,-1
why do she love ?,305 81 27 194 80,0
they enjoy it,45 1784 17,1
he love that,16 194 15,1
why is he love ?,305 34 16 194 80,0
why are she like ?,305 66 27 96 80,0
what is he like ?,55 34 16 96 80,0
what was they like ?,55 14 45 96 80,0
why did she love ?,305 73 27 194 80,0
we love that,70 194 15,1
why does he love ?,305 312 16 194 80,0
he like that,16 96 15,1
she love it,27 194 17,1
she are not like this,27 66 21 96 49,-1
they love it,45 194 17,1
we does not enjoy that,70 312 21 1784 15,-1
we like this,70 96 49,1
does she like this ?,312 27 96 49 80,0
how is i like ?,110 34 5552 96 80,0
they is not love this,45 34 21 194 49,-1
he love it,16 194 17,1
did i love it ?,73 5552 194 17 80,0
you enjoy this,24 1784 49,1
how do he like ?,110 81 16 96 80,0
they like it,45 96 17,1
we like that,70 96 15,1
are they like this ?,66 45 96 49 80,0
we were not like that,70 48 21 96 15,-1
what is they enjoy ?,55 34 45 1784 80,0
we love it,70 194 17,1
what is he love ?,55 34 16 194 80,0
they were not love that,45 48 21 194 15,-1
i were not like it,5552 48 21 96 17,-1
did they enjoy that ?,73 45 1784 15 80,0
she does not like this,27 312 21 96 49,-1
we love it,70 194 17,1
why was i enjoy ?,305 14 5552 1784 80,0
why did she love ?,305 73 27 194 80,0
you enjoy that,24 1784 15,1
were she like that ?,48 27 96 15 80,0
she does not like it,27 312 21 96 17,-1
do they like that ?,81 45 96 15 80,0
how are you enjoy ?,110 66 24 1784 80,0
you love it,24 194 17,1
she are not love that,27 66 21 194 15,-1
is you like it ?,34 24 96 17 80,0
i does not like it,5552 312 21 96 17,-1
how were i like ?,110 48 5552 96 80,0
how were we love ?,110 48 70 194 80,0
was he enjoy that ?,14 16 1784 15 80,0
he enjoy it,16 1784 17,1
he love that,16 194 15,1
does she love it ?,312 27 194 17 80,0
she love this,27 194 49,1
are they like this ?,66 45 96 49 80,0
does i like it ?,312 5552 96 17 80,0
what are we enjoy ?,55 66 70 1784 80,0
we love that,70 194 15,1
did she love that ?,73 27 194 15 80,0
why was they love ?,305 14 45 194 80,0
are i love it ?,66 5552 194 17 80,0
they like that,45 96 15,1
what was we enjoy ?,55 14 70 1784 80,0
do she like that ?,81 27 96 15 80,0
were he love this ?,48 16 194 49 80,0
she is not like that,27 34 21 96 15,-1
i do not love this,5552 81 21 194 49,-1
does he like it ?,312 16 96 17 80,0
is they love that ?,34 45 194 15 80,0
i do not enjoy that,5552 81 21 1784 15,-1
was i like this ?,14 5552 96 49 80,0
were he like that ?,48 16 96 15 80,0
how was they love ?,110 14 45 194 80,0
he are not love this,16 66 21 194 49,-1
does we like that ?,312 70 96 15 80,0
were i enjoy this ?,48 5552 1784 49 80,0
we enjoy that,70 1784 15,1
was we enjoy it ?,14 70 1784 17 80,0
are he enjoy this ?,66 16 1784 49 80,0
i are not love this,5552 66 21 194 49,-1
they are not love that,45 66 21 194 15,-1
they do not love it,45 81 21 194 17,-1
we like that,70 96 15,1
you enjoy it,24 1784 17,1
you do not enjoy this,24 81 21 1784 49,-1
does i like it ?,312 5552 96 17 80,0
you enjoy this,24 1784 49,1
did she love this ?,73 27 194 49 80,0
did i love this ?,73 5552 194 49 80,0
they enjoy it,45 1784 17,1
what were we love ?,55 48 70 194 80,0
did they enjoy that ?,73 45 1784 15 80,0
how were he like ?,110 48 16 96 80,0
he enjoy this,16 1784 49,1
we enjoy it,70 1784 17,1
are we enjoy that ?,66 70 1784 15 80,0
what is she love ?,55 34 27 194 80,0
she did not love it,27 73 21 194 17,-1
why did we like ?,305 73 70 96 80,0
why is she love ?,305 34 27 194 80,0
what did she enjoy ?,55 73 27 1784 80,0
what does she like ?,55 312 27 96 80,0
he like this,16 96 49,1
why are they enjoy ?,305 66 45 1784 80,0
you do not enjoy this,24 81 21 1784 49,-1
you enjoy that,24 1784 15,1
is he like it ?,34 16 96 17 80,0
he enjoy this,16 1784 49,1
he was not love it,16 14 21 194 17,-1
is i love it ?,34 5552 194 17 80,0
how is he love ?,110 34 16 194 80,0
how were she like ?,110 48 27 96 80,0
he are not like it,16 66 21 96 17,-1
you like that,24 96 15,1
we love this,70 194 49,1
do we love that ?,81 70 194 15 80,0
he like this,16 96 49,1
i love that,5552 194 15,1
you was not love this,24 14 21 194 49,-1
i are not love it,5552 66 21 194 17,-1
they is not like it,45 34 21 96 17,-1
were you enjoy this ?,48 24 1784 49 80,0
you was not love this,24 14 21 194 49,-1
she are not love that,27 66 21 194 15,-1
was they love this ?,14 45 194 49 80,0
we does not enjoy this,70 312 21 1784 49,-1
what does we like ?,55 312 70 96 80,0
he enjoy that,16 1784 15,1
he like it,16 96 17,1
why did you love ?,305 73 24 194 80,0
why are you enjoy ?,305 66 24 1784 80,0
did you like this ?,73 24 96 49 80,0
does i like it ?,312 5552 96 17 80,0
you do not love that,24 81 21 194 15,-1
what do he like ?,55 81 16 96 80,0
he enjoy it,16 1784 17,1
how are you enjoy ?,110 66 24 1784 80,0
we does not like this,70 312 21 96 49,-1
we enjoy that,70 1784 15,1
we do not like it,70 81 21 96 17,-1
he love that,16 194 15,1
they love this,45 194 49,1
do i love it ?,81 5552 194 17 80,0
how were she love ?,110 48 27 194 80,0
did i love it ?,73 5552 194 17 80,0
i was not love that,5552 14 21 194 15,-1
i enjoy it,5552 1784 17,1
how is he like ?,110 34 16 96 80,0
why was you enjoy ?,305 14 24 1784 80,0
were we love it ?,48 70 194 17 80,0
they do not love this,45 81 21 194 49,-1
are they enjoy that ?,66 45 1784 15 80,0
what were i like ?,55 48 5552 96 80,0
you did not like this,24 73 21 96 49,-1
how do i like ?,110 81 5552 96 80,0
he enjoy this,16 1784 49,1
we was not enjoy that,70 14 21 1784 15,-1
how were you enjoy ?,110 48 24 1784 80,0
what was we like ?,55 14 70 96 80,0
is they like that ?,34 45 96 15 80,0
they like it,45 96 17,1
does they like it ?,312 45 96 17 80,0
